school_name,year,first_down,first_down_pass,first_down_penalty,first_down_rush,fumbles_lost,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,penalty,penalty_yds,points,rush_att,rush_td,rush_yds,rush_yds_per_att,tot_plays,tot_yds,tot_yds_per_play,turnovers,opp_first_down,opp_first_down_pass,opp_first_down_penalty,opp_first_down_rush,opp_fumbles_lost,opp_pass_att,opp_pass_cmp,opp_pass_cmp_pct,opp_pass_int,opp_pass_td,opp_pass_yds,opp_penalty,opp_penalty_yds,opp_points,opp_rush_att,opp_rush_td,opp_rush_yds,opp_rush_yds_per_att,opp_tot_plays,opp_tot_yds,opp_tot_yds_per_play,opp_turnovers,fg_pct,fga,fgm,kick_points,kick_ret,kick_ret_td,kick_ret_yds,kick_ret_yds_per_ret,punt,punt_ret,punt_ret_td,punt_ret_yds,punt_ret_yds_per_ret,punt_yds,punt_yds_per_punt,xp_pct,xpa,xpm,Unnamed: 0,conf_abbr,losses,losses_conf,notes,opp_points_per_g,points_per_g,rank_final,rank_min,rank_pre,sos,srs,win_loss_pct,win_loss_pct_conf,wins,wins_conf
Boise State,2000,23.9,13.5,1.5,8.9,0.6,33.8,20.5,60.5,0.7,3.4,321.5,6.2,63.5,44.9,40.0,2.1,174.7,4.4,73.8,496.3,6.7,1.4,18.2,9.0,1.7,7.5,0.9,32.1,16.5,51.3,1.2,1.5,228.4,7.1,61.9,22.8,37.8,1.3,139.2,3.7,69.9,367.5,5.3,2.1,88.2,1.5,1.4,9.5,4.0,0.1,91.5,22.9,4.5,3.6,0.1,33.7,9.3,181.3,40.7,96.7,5.5,5.4,40.0,Big West,2.0,0.0,,22.8,44.3,,,,-8.8,6.78,0.833,1.0,10.0,5.0
Miami (FL),2000,21.2,12.1,1.4,7.7,1.5,30.9,18.0,58.2,0.5,2.4,266.0,8.8,86.5,42.6,39.5,2.2,194.8,4.9,70.4,460.8,6.5,1.9,18.5,9.8,2.2,6.5,0.9,38.9,19.6,50.5,2.1,1.0,220.6,7.5,55.4,15.5,35.7,1.0,112.7,3.2,74.6,333.4,4.5,3.0,61.1,1.6,1.0,7.9,2.5,0.0,57.8,22.7,4.5,4.2,0.5,74.5,17.8,192.6,42.4,90.0,5.5,4.9,21.0,Big East,1.0,0.0,,15.8,42.2,2.0,2.0,5.0,5.22,23.22,0.917,1.0,11.0,7.0
Florida State,2000,25.3,14.5,2.8,8.0,0.7,39.1,24.2,61.8,1.2,3.0,384.0,10.2,93.9,42.4,37.9,2.3,165.0,4.4,77.0,549.0,7.1,1.8,16.3,9.0,2.4,4.9,1.1,37.3,18.3,49.2,1.6,0.6,203.1,11.1,89.4,10.3,32.3,0.5,73.9,2.3,69.5,277.0,4.0,2.7,58.3,2.0,1.2,8.4,2.2,0.0,42.7,19.7,4.2,3.7,0.0,38.9,10.6,168.5,40.4,88.1,5.6,4.9,0.0,ACC,2.0,0.0,,10.5,39.3,5.0,1.0,2.0,5.59,23.13,0.846,1.0,11.0,8.0
Nebraska,2000,22.9,5.2,0.9,16.8,0.8,15.6,7.6,48.8,0.7,1.0,110.6,6.5,56.5,41.5,57.8,4.1,349.3,6.0,73.5,459.9,6.3,1.5,16.6,9.0,1.8,5.8,0.5,35.7,16.3,45.5,1.3,0.9,208.3,7.6,59.6,19.4,31.4,1.1,113.5,3.6,67.1,321.8,4.8,1.7,50.0,0.9,0.5,6.9,2.1,0.0,34.8,16.7,3.8,4.2,0.3,46.0,11.0,157.8,41.3,100.0,5.5,5.5,9.0,Big 12 (North),2.0,2.0,,19.2,43.5,8.0,1.0,1.0,4.51,19.01,0.833,0.75,10.0,6.0
Virginia Tech,2000,22.5,6.5,1.2,14.7,1.5,20.5,10.5,51.3,0.6,0.8,155.9,6.4,55.7,40.3,51.8,4.2,270.5,5.2,72.4,426.4,5.9,2.1,16.8,8.8,1.6,6.4,0.5,32.2,15.5,48.3,2.1,1.6,224.4,7.3,55.6,22.6,34.0,1.2,99.3,2.9,66.2,323.6,4.9,2.6,77.8,0.8,0.6,7.0,2.7,0.0,51.6,18.9,4.4,3.5,0.4,64.6,18.2,150.5,34.5,94.9,5.4,5.1,22.0,Big East,1.0,1.0,,22.4,40.3,6.0,2.0,11.0,4.0,19.42,0.917,0.857,11.0,6.0
Kansas State,2000,21.2,8.2,1.8,11.2,0.8,26.0,12.8,49.1,1.0,1.5,211.9,8.3,71.6,39.5,45.8,3.2,198.1,4.3,71.8,410.0,5.7,1.8,15.2,7.3,1.8,6.0,0.7,30.7,15.7,51.1,1.5,0.6,172.4,7.6,55.4,18.5,36.4,1.5,98.2,2.7,67.1,270.5,4.0,2.2,85.0,1.5,1.3,8.5,2.6,0.0,48.5,18.6,4.7,3.2,0.3,54.5,17.3,169.4,36.1,95.2,4.8,4.5,10.0,Big 12 (North),3.0,2.0,,18.6,39.2,9.0,2.0,8.0,3.93,15.72,0.7859999999999999,0.75,11.0,6.0
Oklahoma,2000,21.6,12.3,1.8,7.4,0.8,37.5,24.1,64.2,1.4,1.8,294.7,7.7,65.3,39.0,34.2,2.7,134.6,3.9,71.7,429.3,6.0,2.3,14.9,6.7,1.5,6.8,0.9,33.1,16.3,49.4,1.8,0.8,170.8,6.3,52.6,16.0,34.3,1.1,108.2,3.2,67.4,278.9,4.1,2.8,61.9,1.8,1.1,8.2,2.3,0.0,48.1,20.6,4.3,3.5,0.2,53.8,15.4,181.1,41.8,98.3,5.0,4.9,15.0,Big 12 (South),0.0,0.0,,14.9,37.0,1.0,1.0,19.0,5.32,21.56,1.0,1.0,13.0,8.0
Texas,2000,21.5,11.0,1.9,8.5,1.0,36.1,20.0,55.4,1.3,2.4,293.2,8.1,71.4,38.6,36.9,1.7,145.5,3.9,73.0,438.6,6.0,2.3,16.3,7.5,2.8,6.0,1.5,34.5,15.5,45.1,1.5,0.7,184.3,8.2,63.0,17.9,35.2,1.1,94.0,2.7,69.6,278.3,4.0,3.0,84.6,2.4,2.0,9.7,2.8,0.0,64.6,22.9,5.1,3.5,0.0,41.2,11.6,190.9,37.5,93.2,4.0,3.7,16.0,Big 12 (South),3.0,1.0,,19.3,37.9,12.0,5.0,7.0,0.78,13.78,0.75,0.875,9.0,7.0
Northwestern,2000,23.7,10.1,1.4,12.3,0.5,31.5,18.4,58.4,0.6,1.7,218.4,9.5,83.1,38.5,51.4,3.3,257.3,5.0,82.8,475.6,5.7,1.2,21.9,10.5,2.5,8.8,1.2,33.4,17.6,52.9,1.1,2.1,228.0,7.1,59.9,30.4,42.7,1.7,180.1,4.2,76.1,408.1,5.4,2.3,75.0,1.5,1.1,7.8,4.2,0.0,81.8,19.6,5.8,1.8,0.0,18.5,10.2,242.5,41.7,96.2,4.7,4.5,30.0,Big Ten,4.0,2.0,,33.3,36.8,,12.0,,4.26,8.85,0.667,0.75,8.0,6.0
Florida,2000,21.3,12.2,1.6,7.5,0.8,38.8,22.1,56.9,1.0,2.8,308.2,7.8,57.7,37.3,30.1,1.7,110.5,3.7,68.9,418.7,6.1,1.8,18.3,9.4,1.3,7.7,1.3,36.9,19.8,53.5,2.0,0.8,212.9,6.8,54.7,19.7,36.3,1.0,133.1,3.7,73.2,346.0,4.7,3.3,84.2,1.6,1.3,8.2,3.1,0.0,59.2,19.2,4.3,2.5,0.2,37.5,15.0,169.6,39.9,92.6,4.5,4.2,95.0,SEC (East),3.0,1.0,,21.0,36.0,10.0,3.0,9.0,6.23,17.61,0.769,0.875,10.0,7.0
