,first_down,first_down_pass,first_down_penalty,first_down_rush,fumbles_lost,g,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,penalty,penalty_yds,points,ranker,rush_att,rush_td,rush_yds,rush_yds_per_att,school_name,tot_plays,tot_yds,tot_yds_per_play,turnovers,year
0,23.9,13.5,1.5,8.9,0.6,11,33.8,20.5,60.5,0.7,3.4,321.5,6.2,63.5,44.9,1,40.0,2.1,174.7,4.4,Boise State,73.8,496.3,6.7,1.4,2000
1,21.2,12.1,1.4,7.7,1.5,11,30.9,18.0,58.2,0.5,2.4,266.0,8.8,86.5,42.6,2,39.5,2.2,194.8,4.9,Miami (FL),70.4,460.8,6.5,1.9,2000
2,25.3,14.5,2.8,8.0,0.7,12,39.1,24.2,61.8,1.2,3.0,384.0,10.2,93.9,42.4,3,37.9,2.3,165.0,4.4,Florida State,77.0,549.0,7.1,1.8,2000
3,22.9,5.2,0.9,16.8,0.8,11,15.6,7.6,48.8,0.7,1.0,110.6,6.5,56.5,41.5,4,57.8,4.1,349.3,6.0,Nebraska,73.5,459.9,6.3,1.5,2000
4,22.5,6.5,1.2,14.7,1.5,11,20.5,10.5,51.3,0.6,0.8,155.9,6.4,55.7,40.3,5,51.8,4.2,270.5,5.2,Virginia Tech,72.4,426.4,5.9,2.1,2000
5,21.2,8.2,1.8,11.2,0.8,13,26.0,12.8,49.1,1.0,1.5,211.9,8.3,71.6,39.5,6,45.8,3.2,198.1,4.3,Kansas State,71.8,410.0,5.7,1.8,2000
6,21.6,12.3,1.8,7.4,0.8,12,37.5,24.1,64.2,1.4,1.8,294.7,7.7,65.3,39.0,7,34.2,2.7,134.6,3.9,Oklahoma,71.7,429.3,6.0,2.3,2000
7,21.5,11.0,1.9,8.5,1.0,11,36.1,20.0,55.4,1.3,2.4,293.2,8.1,71.4,38.6,8,36.9,1.7,145.5,3.9,Texas,73.0,438.6,6.0,2.3,2000
8,23.7,10.1,1.4,12.3,0.5,11,31.5,18.4,58.4,0.6,1.7,218.4,9.5,83.1,38.5,9,51.4,3.3,257.3,5.0,Northwestern,82.8,475.6,5.7,1.2,2000
9,21.3,12.2,1.6,7.5,0.8,12,38.8,22.1,56.9,1.0,2.8,308.2,7.8,57.7,37.3,10,30.1,1.7,110.5,3.7,Florida,68.9,418.7,6.1,1.8,2000
10,20.6,6.1,1.5,13.1,0.8,11,16.7,9.6,57.6,0.7,1.5,145.5,8.3,75.9,37.3,11,53.5,3.0,275.6,5.2,Texas Christian,70.2,421.1,6.0,1.5,2000
11,23.2,9.2,2.5,11.5,0.7,11,24.9,13.5,54.4,1.0,1.2,199.7,5.8,52.9,37.2,12,49.0,3.2,228.1,4.7,Northern Illinois,73.9,427.8,5.8,1.7,2000
12,22.0,8.3,1.2,12.5,0.5,11,27.3,15.4,56.3,0.4,1.2,150.7,4.5,41.8,36.4,13,46.7,2.6,253.8,5.4,Toledo,74.0,404.5,5.5,0.8,2000
13,22.7,8.5,1.6,12.6,0.8,11,26.9,14.5,53.7,0.8,1.5,210.1,8.8,80.9,36.0,14,50.6,3.0,236.4,4.7,Clemson,77.5,446.5,5.8,1.6,2000
14,20.2,12.2,1.6,6.4,1.3,11,35.4,21.3,60.2,1.1,2.5,256.5,11.6,101.6,35.3,15,37.2,1.8,134.3,3.6,Louisville,72.5,390.8,5.4,2.4,2000
15,25.5,7.7,1.4,16.4,0.5,11,18.6,10.5,56.6,0.5,1.2,157.0,5.4,41.2,34.9,16,58.8,3.0,294.9,5.0,Air Force,77.5,451.9,5.8,1.1,2000
16,22.2,9.9,1.1,11.2,0.9,11,27.3,15.9,58.3,0.5,2.2,225.3,5.6,48.6,33.9,17,45.5,2.1,220.2,4.8,Michigan,72.7,445.5,6.1,1.4,2000
